,Korean,ENGLISH,POLISH,Chinese,SPANISH,SWEDISH,INDONESIAN,Japanese,ChineseT,ARABIC,MALAGASY,FRENCH,RUSSIAN,BELARUSIAN,TAMIL,TURKISH,DANISH,CROATIAN,ITALIAN,MACEDONIAN,DUTCH,CZECH,GREEK,GERMAN,TELUGU,SLOVENIAN,FINNISH,HUNGARIAN,BIHARI,PORTUGUESE,VIETNAMESE,MALAYALAM,ALBANIAN,MALTESE,Unknown,GALICIAN,ESTONIAN,ARMENIAN,NORWEGIAN,SERBIAN,HEBREW,SLOVAK,THAI,UKRAINIAN,ROMANIAN,GEORGIAN,LITHUANIAN,HINDI,BENGALI,ICELANDIC,LATVIAN,PERSIAN,SWAHILI,TAGALOG,UZBEK,CATALAN,BOSNIAN,FRISIAN,ORIYA,SINHALESE,MARATHI,TURKMEN,AZERBAIJANI,BASQUE,NORWEGIAN_N,BURMESE,BULGARIAN,TIGRINYA,SOMALI,LUXEMBOURGISH,MALAY,URDU,GUJARATI,KAZAKH,TAJIK,KANNADA,HAUSA,DHIVEHI,PASHTO,MONGOLIAN,KURDISH,PUNJABI,KINYARWANDA,WELSH,RHAETO_ROMANCE,AYMARA,WARAY_PHILIPPINES,OROMO,KYRGYZ,IRISH,SCOTS_GAELIC,GANDA,AFRIKAANS,FAROESE,YORUBA,NYANJA,AMHARIC,LATIN,CORSICAN,IGBO,SESELWA,SAMOAN,LINGALA,XHOSA,TIBETAN,OCCITAN,NEPALI,GUARANI,HMONG,TATAR
비,111497.0,340.0,230.0,186.0,4.0,23.0,,10.0,21.0,16.0,,54.0,3.0,,,,4.0,,21.0,,12.0,98.0,,24.0,,,,25.0,,18.0,,,,,,,,,39.0,,,,6.0,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
베,17802.0,73.0,66.0,52.0,4.0,5.0,,1.0,3.0,10.0,,14.0,,,,,,,2.0,,1.0,13.0,,4.0,,,,11.0,,2.0,,,,,,,,,15.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
트,110195.0,784.0,755.0,270.0,10.0,106.0,,15.0,26.0,43.0,,239.0,9.0,,,2.0,,,88.0,,21.0,191.0,,95.0,,1.0,,82.0,,87.0,1.0,,,,,,,,183.0,,,,6.0,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온,16653.0,201.0,246.0,68.0,3.0,29.0,,1.0,1.0,4.0,,56.0,2.0,,,,,,21.0,,6.0,37.0,,30.0,,,,19.0,,23.0,,,,,,,,,59.0,,,,2.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파,53528.0,225.0,361.0,231.0,4.0,34.0,,3.0,6.0,7.0,,135.0,1.0,,,1.0,7.0,,23.0,1.0,3.0,90.0,,31.0,,,1.0,17.0,,16.0,1.0,,,,,,,,71.0,,,,1.0,,1.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,44529.0,2479221.0,267240.0,287166.0,515085.0,342732.0,57362.0,73890.0,130859.0,65380.0,4799.0,497379.0,154509.0,897.0,2054.0,496550.0,301140.0,88891.0,402114.0,10609.0,248470.0,165911.0,36856.0,1138765.0,4674.0,70682.0,41954.0,216688.0,457.0,270032.0,21374.0,4930.0,42438.0,5541.0,73313.0,6249.0,36742.0,2180.0,170758.0,61621.0,7464.0,79405.0,9563.0,9645.0,146665.0,443.0,33008.0,31737.0,6954.0,28064.0,25885.0,2558.0,18283.0,7611.0,849.0,18167.0,109565.0,4149.0,744.0,1554.0,39.0,1930.0,44417.0,6819.0,17675.0,147.0,2901.0,381.0,10366.0,8710.0,23999.0,4410.0,2177.0,156.0,391.0,1887.0,7199.0,202.0,15.0,226.0,31.0,19.0,9842.0,1501.0,312.0,65.0,851.0,1575.0,42.0,471.0,404.0,7192.0,2046.0,1766.0,1074.0,622.0,48.0,61.0,378.0,891.0,102.0,99.0,1002.0,140.0,21.0,,15.0,107.0,128.0,
s,90376.0,5247069.0,616785.0,545854.0,1240582.0,941769.0,119802.0,145253.0,210162.0,92000.0,15614.0,1119938.0,245825.0,1748.0,7371.0,810293.0,505441.0,209625.0,863751.0,15406.0,578683.0,378158.0,105923.0,2495402.0,15984.0,159459.0,676574.0,535832.0,1542.0,807397.0,43734.0,11610.0,131323.0,9537.0,57249.0,21784.0,233093.0,7302.0,504230.0,154322.0,15122.0,189407.0,20633.0,18867.0,164268.0,985.0,164634.0,75049.0,7841.0,96938.0,108211.0,7213.0,40913.0,13936.0,2076.0,59557.0,237969.0,11803.0,6189.0,6029.0,103.0,5100.0,55153.0,10068.0,54661.0,547.0,6231.0,1336.0,17535.0,27821.0,43930.0,13456.0,7184.0,347.0,785.0,6646.0,17636.0,876.0,53.0,481.0,46.0,43.0,6763.0,3280.0,994.0,264.0,1492.0,1869.0,113.0,1335.0,717.0,7829.0,6539.0,6567.0,782.0,1453.0,134.0,216.0,1656.0,618.0,402.0,455.0,1989.0,501.0,66.0,2.0,38.0,346.0,94.0,
호,65326.0,358.0,81.0,192.0,4.0,5.0,,2.0,11.0,11.0,,28.0,5.0,,,,,,6.0,,10.0,50.0,,1.0,,,,11.0,,1.0,1.0,,,,,,,,22.0,,,,3.0,,1.0,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제,184614.0,358.0,282.0,426.0,15.0,17.0,,7.0,8.0,30.0,,113.0,3.0,,,,7.0,4.0,21.0,,9.0,44.0,,18.0,,13.0,,25.0,,14.0,1.0,,,,,,,,14.0,,,,1.0,,6.0,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
역,69240.0,436.0,80.0,91.0,1.0,48.0,,1.0,3.0,10.0,,71.0,,,,,,1.0,44.0,,2.0,15.0,,46.0,,,,26.0,,45.0,1.0,,,,,,,,56.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단,96628.0,69.0,22.0,76.0,3.0,10.0,,5.0,4.0,19.0,,17.0,,,,,,2.0,9.0,,2.0,33.0,,13.0,,,,10.0,,5.0,1.0,,,,,,,,6.0,,,,2.0,,2.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은,140226.0,403.0,41.0,165.0,39.0,3.0,,5.0,13.0,119.0,,14.0,1.0,,,,,,7.0,,2.0,23.0,,11.0,,,,7.0,,4.0,,,,,,,,,7.0,,,,10.0,,15.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,27867.0,2017540.0,114297.0,223588.0,393052.0,296918.0,20818.0,49707.0,83572.0,58225.0,5676.0,429079.0,122245.0,330.0,1464.0,182397.0,295040.0,28890.0,376155.0,9723.0,153315.0,61303.0,30817.0,1008802.0,2437.0,17581.0,31108.0,124349.0,302.0,235541.0,9961.0,2667.0,27572.0,4271.0,73299.0,4125.0,13882.0,1635.0,165597.0,21915.0,6364.0,40718.0,6200.0,5235.0,130058.0,295.0,7701.0,18452.0,5727.0,52113.0,7686.0,2024.0,11208.0,1440.0,343.0,12749.0,38493.0,4325.0,493.0,1165.0,26.0,410.0,12635.0,1738.0,17638.0,131.0,1794.0,296.0,6450.0,8210.0,17042.0,2806.0,1468.0,82.0,191.0,1280.0,4188.0,223.0,9.0,135.0,23.0,13.0,1419.0,1781.0,297.0,65.0,372.0,1354.0,32.0,318.0,165.0,1634.0,1232.0,2598.0,476.0,333.0,38.0,45.0,393.0,220.0,90.0,153.0,397.0,34.0,13.0,,5.0,50.0,35.0,
2,192370.0,2053587.0,171688.0,2703045.0,432135.0,98127.0,22438.0,350793.0,873077.0,186703.0,434.0,435843.0,2050985.0,1306.0,8859.0,220864.0,108454.0,48452.0,427877.0,8342.0,115117.0,292166.0,138446.0,411587.0,2137.0,70688.0,60312.0,81213.0,759.0,290769.0,59936.0,27763.0,35579.0,349.0,131590.0,336.0,27324.0,26994.0,63010.0,47365.0,33274.0,133896.0,44537.0,143473.0,155483.0,1620.0,27082.0,44503.0,5506.0,3864.0,2475.0,3224.0,2584.0,288.0,3581.0,1914.0,151836.0,129.0,2828.0,4550.0,151.0,823.0,56759.0,358.0,12641.0,54.0,85320.0,117.0,2114.0,614.0,5850.0,10957.0,1488.0,2761.0,10587.0,518.0,710.0,282.0,17.0,445.0,286.0,185.0,197.0,68.0,20.0,27.0,1464.0,56.0,207.0,63.0,29.0,229.0,114.0,81.0,60.0,43.0,70.0,19.0,71.0,42.0,43.0,487.0,52.0,382.0,18.0,3.0,5.0,23.0,173.0,25.0
c,69162.0,3654986.0,578636.0,477277.0,1231918.0,204483.0,36759.0,115000.0,174919.0,73617.0,7980.0,851629.0,214139.0,1477.0,3739.0,370300.0,233029.0,85693.0,892785.0,12755.0,278887.0,255468.0,52891.0,1386655.0,7447.0,70029.0,26646.0,141703.0,887.0,654325.0,45319.0,6212.0,28438.0,2239.0,78249.0,16678.0,9533.0,4061.0,41644.0,54151.0,10723.0,123302.0,13467.0,12117.0,272927.0,656.0,13974.0,37972.0,8512.0,3818.0,19722.0,3944.0,16555.0,4860.0,579.0,42138.0,89660.0,2323.0,1240.0,3675.0,77.0,1267.0,24359.0,2288.0,2557.0,340.0,5463.0,678.0,8942.0,16809.0,24670.0,6366.0,3976.0,202.0,228.0,3608.0,8539.0,501.0,20.0,326.0,35.0,29.0,2093.0,2326.0,481.0,150.0,1418.0,546.0,113.0,1021.0,960.0,3096.0,2129.0,212.0,193.0,837.0,82.0,134.0,1262.0,630.0,229.0,247.0,1151.0,499.0,37.0,2.0,19.0,324.0,35.0,
p,47620.0,2240601.0,417008.0,497553.0,619570.0,341630.0,71821.0,90195.0,184863.0,59972.0,7456.0,549760.0,120987.0,951.0,3123.0,293582.0,271383.0,148892.0,532836.0,11499.0,267114.0,263238.0,46983.0,818199.0,6713.0,122039.0,291259.0,167429.0,662.0,411034.0,24050.0,5157.0,56273.0,4344.0,54390.0,9221.0,78274.0,3490.0,189938.0,99861.0,8498.0,142099.0,10143.0,11035.0,114613.0,457.0,67556.0,33753.0,3190.0,20152.0,45778.0,2894.0,17110.0,11467.0,417.0,25406.0,167753.0,4408.0,1104.0,2495.0,47.0,2040.0,21716.0,4822.0,18518.0,257.0,4525.0,481.0,2468.0,10622.0,17607.0,5261.0,3165.0,153.0,167.0,2755.0,5116.0,362.0,21.0,264.0,45.0,21.0,1167.0,1050.0,332.0,106.0,964.0,270.0,51.0,474.0,173.0,2296.0,2477.0,1589.0,442.0,627.0,61.0,97.0,784.0,575.0,148.0,197.0,884.0,193.0,29.0,2.0,29.0,158.0,41.0,
i,81494.0,5028213.0,922981.0,581924.0,1401311.0,745445.0,159310.0,146356.0,270183.0,98555.0,22326.0,1358112.0,288201.0,4942.0,7691.0,1329136.0,437461.0,369657.0,1385816.0,16915.0,617456.0,432495.0,115466.0,2451686.0,16788.0,254545.0,844317.0,387812.0,1478.0,928411.0,69263.0,17289.0,176233.0,20049.0,101424.0,22984.0,258640.0,7783.0,402307.0,271733.0,16135.0,283629.0,23164.0,25889.0,341668.0,1277.0,209437.0,82842.0,8362.0,107934.0,120495.0,8008.0,78803.0,20211.0,3759.0,67504.0,464405.0,10483.0,6826.0,6718.0,127.0,5795.0,108516.0,22201.0,43581.0,563.0,7386.0,1468.0,17942.0,28846.0,40048.0,13536.0,7334.0,462.0,1179.0,7145.0,21240.0,842.0,60.0,592.0,68.0,54.0,15520.0,3636.0,1014.0,260.0,3276.0,3783.0,131.0,1663.0,1432.0,10798.0,6118.0,8442.0,1187.0,2185.0,158.0,246.0,2190.0,1358.0,362.0,511.0,2949.0,555.0,84.0,3.0,49.0,443.0,119.0,
t,75474.0,4713965.0,509915.0,451976.0,1076947.0,864296.0,102549.0,131559.0,184418.0,85920.0,17360.0,1064918.0,235321.0,1475.0,6237.0,932108.0,464692.0,222143.0,997702.0,15427.0,567215.0,405311.0,90499.0,2433890.0,13295.0,164077.0,737943.0,586499.0,1208.0,675479.0,59418.0,15100.0,150901.0,14016.0,59006.0,16798.0,212691.0,7451.0,464845.0,156166.0,15182.0,215639.0,19526.0,18363.0,248503.0,946.0,121675.0,62923.0,6687.0,79464.0,84618.0,6118.0,39643.0,13710.0,2067.0,54501.0,220606.0,10829.0,4643.0,5449.0,111.0,4359.0,56402.0,18427.0,50005.0,518.0,6458.0,1291.0,12136.0,28047.0,38617.0,10187.0,5784.0,341.0,696.0,5876.0,14445.0,783.0,56.0,488.0,49.0,35.0,6465.0,2989.0,923.0,238.0,1570.0,2333.0,105.0,1269.0,659.0,6916.0,5224.0,5704.0,727.0,1374.0,165.0,210.0,1798.0,908.0,362.0,445.0,2000.0,407.0,65.0,,44.0,281.0,90.0,
n,73212.0,4725677.0,702963.0,390994.0,1270343.0,967360.0,163994.0,165079.0,217033.0,88299.0,21353.0,1227501.0,250048.0,1808.0,6961.0,1306515.0,480410.0,292792.0,1117664.0,15844.0,651239.0,503850.0,90683.0,2709453.0,15108.0,227635.0,632006.0,479172.0,1467.0,709849.0,78793.0,13973.0,127439.0,12666.0,60904.0,21182.0,134215.0,7942.0,505873.0,217692.0,14340.0,272135.0,22356.0,15624.0,234835.0,1051.0,132651.0,73806.0,7377.0,104726.0,75733.0,7029.0,56509.0,22520.0,2218.0,56714.0,350960.0,11861.0,2746.0,6020.0,98.0,6379.0,111615.0,18967.0,54263.0,550.0,6353.0,1369.0,14235.0,30050.0,38706.0,11738.0,6178.0,346.0,876.0,6488.0,20041.0,749.0,53.0,600.0,48.0,39.0,10190.0,3369.0,1110.0,239.0,3136.0,3112.0,90.0,1397.0,906.0,8874.0,5779.0,7737.0,1739.0,1992.0,141.0,209.0,1858.0,1501.0,377.0,432.0,2334.0,562.0,73.0,,55.0,415.0,128.0,
j,18468.0,846725.0,258069.0,65232.0,192609.0,156438.0,22031.0,25474.0,26069.0,46835.0,1444.0,177313.0,36211.0,548.0,699.0,44271.0,208014.0,185219.0,98129.0,9857.0,141599.0,118685.0,11007.0,173553.0,1808.0,127897.0,201877.0,132579.0,194.0,95753.0,4096.0,980.0,51603.0,7599.0,48747.0,992.0,46026.0,509.0,108765.0,120273.0,3306.0,65949.0,1963.0,1255.0,17395.0,86.0,42451.0,17059.0,748.0,27837.0,37484.0,723.0,10669.0,687.0,280.0,5179.0,216423.0,3860.0,257.0,450.0,7.0,907.0,1478.0,1257.0,12951.0,45.0,525.0,61.0,1916.0,1413.0,4747.0,1271.0,732.0,31.0,140.0,606.0,2091.0,73.0,2.0,38.0,4.0,5.0,1996.0,88.0,43.0,4.0,15.0,532.0,10.0,47.0,4.0,1008.0,349.0,1625.0,627.0,189.0,8.0,6.0,155.0,204.0,17.0,16.0,137.0,9.0,10.0,1.0,10.0,38.0,10.0,
용,74483.0,263.0,165.0,161.0,8.0,5.0,,6.0,1.0,14.0,,13.0,,,,,,,12.0,,1.0,41.0,,28.0,,,,3.0,,8.0,1.0,,,,,,,,23.0,,,1.0,1.0,,2.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
큐,4257.0,9.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
터,112933.0,258.0,260.0,123.0,12.0,28.0,,8.0,5.0,25.0,,44.0,,,,,,,18.0,,4.0,78.0,,20.0,,,,33.0,,16.0,,,,,,,,,75.0,,,,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레,44354.0,130.0,54.0,64.0,7.0,2.0,,5.0,6.0,21.0,,19.0,1.0,,,,,,1.0,,3.0,16.0,,5.0,,,1.0,6.0,,1.0,,,,,,,,,19.0,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
알,15639.0,74.0,18.0,22.0,5.0,4.0,,2.0,3.0,9.0,,10.0,,,,,,,5.0,,2.0,56.0,,3.0,,,,2.0,,4.0,,,,,,,,,5.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보,159550.0,361.0,143.0,255.0,12.0,20.0,,8.0,16.0,19.0,,42.0,4.0,,,,,,15.0,,12.0,105.0,,19.0,,,,43.0,,15.0,,,,,,,,,38.0,,,,5.0,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,143740.0,1697960.0,143624.0,1565129.0,341315.0,91383.0,20070.0,185385.0,579980.0,156517.0,326.0,381672.0,1660190.0,1021.0,7157.0,205765.0,100910.0,42523.0,373474.0,8043.0,96881.0,221906.0,108851.0,340910.0,972.0,63612.0,47435.0,73677.0,535.0,256751.0,48498.0,18061.0,32389.0,243.0,76450.0,268.0,16289.0,26422.0,51747.0,39475.0,31128.0,115636.0,30603.0,111392.0,153406.0,1177.0,23751.0,33136.0,5531.0,4322.0,1865.0,2438.0,1655.0,222.0,3571.0,1568.0,136193.0,112.0,2660.0,4197.0,109.0,647.0,46460.0,228.0,9055.0,41.0,69761.0,70.0,1356.0,497.0,7096.0,8727.0,1164.0,2600.0,7905.0,328.0,581.0,202.0,17.0,338.0,196.0,153.0,139.0,51.0,7.0,7.0,1299.0,34.0,160.0,39.0,25.0,801.0,74.0,47.0,43.0,16.0,53.0,9.0,33.0,26.0,46.0,486.0,33.0,294.0,8.0,1.0,2.0,17.0,172.0,17.0
것,7512.0,22.0,11.0,9.0,10.0,,,1.0,2.0,22.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차,58330.0,102.0,16.0,82.0,3.0,3.0,,1.0,7.0,8.0,,9.0,1.0,,,,,,2.0,,2.0,6.0,,2.0,,,,,,6.0,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,83585.0,6494140.0,895540.0,595049.0,1685488.0,1061042.0,148379.0,201940.0,293614.0,112227.0,21828.0,1698428.0,388223.0,2280.0,8493.0,1304357.0,633337.0,327187.0,1337049.0,19503.0,923058.0,544306.0,133674.0,3541719.0,16885.0,263599.0,674854.0,548714.0,1714.0,1004940.0,54578.0,20916.0,177236.0,14594.0,85025.0,27640.0,234922.0,9532.0,675081.0,242429.0,19914.0,311042.0,25864.0,23395.0,397569.0,1437.0,126629.0,77582.0,13433.0,76124.0,95704.0,9071.0,52780.0,12268.0,1277.0,76731.0,380008.0,18592.0,5102.0,7589.0,126.0,5809.0,47667.0,25293.0,72768.0,693.0,12072.0,1886.0,17127.0,44403.0,52889.0,14485.0,7734.0,428.0,614.0,8051.0,19959.0,1111.0,55.0,689.0,70.0,46.0,13080.0,4902.0,1367.0,358.0,3172.0,2372.0,130.0,1709.0,1032.0,12711.0,9036.0,4759.0,864.0,2200.0,222.0,292.0,2578.0,1742.0,539.0,623.0,3330.0,456.0,97.0,,40.0,506.0,143.0,
w,24285.0,1804246.0,546226.0,137330.0,121830.0,34092.0,19917.0,88812.0,55387.0,52258.0,311.0,153967.0,59258.0,308.0,1175.0,31328.0,180592.0,8648.0,225477.0,9163.0,166890.0,27507.0,21845.0,670620.0,2251.0,4702.0,10901.0,11873.0,488.0,42094.0,7686.0,2871.0,3380.0,3061.0,48523.0,305.0,2919.0,1196.0,18553.0,7479.0,5168.0,6615.0,6307.0,3843.0,8513.0,233.0,1502.0,20554.0,1137.0,1276.0,932.0,1056.0,30259.0,2793.0,65.0,2216.0,7322.0,2974.0,550.0,1104.0,25.0,1649.0,719.0,281.0,675.0,123.0,1168.0,217.0,6827.0,5086.0,15186.0,2740.0,1021.0,65.0,59.0,985.0,4658.0,121.0,12.0,100.0,8.0,10.0,7103.0,2070.0,160.0,65.0,39.0,462.0,29.0,195.0,22.0,4097.0,1339.0,58.0,532.0,687.0,40.0,30.0,8.0,769.0,82.0,77.0,151.0,45.0,17.0,,13.0,12.0,19.0,
o,71295.0,4606196.0,878444.0,539753.0,1457490.0,615356.0,89846.0,139815.0,261084.0,85262.0,17988.0,1174633.0,261770.0,1697.0,5268.0,629495.0,389635.0,321114.0,1285304.0,17997.0,545394.0,599687.0,106884.0,1573506.0,10695.0,251680.0,527950.0,379164.0,1014.0,979443.0,55107.0,14217.0,133736.0,9240.0,63027.0,24319.0,111093.0,6861.0,340389.0,238743.0,14245.0,343555.0,18860.0,19011.0,217254.0,1077.0,110273.0,57562.0,6169.0,30221.0,64231.0,6253.0,41587.0,14174.0,2393.0,52063.0,354076.0,8604.0,5887.0,4809.0,93.0,5412.0,37927.0,17135.0,32929.0,477.0,9453.0,1134.0,11991.0,21479.0,23449.0,8935.0,5063.0,319.0,1137.0,5039.0,14143.0,711.0,41.0,621.0,43.0,30.0,6962.0,3093.0,483.0,253.0,3384.0,1768.0,99.0,1222.0,572.0,8442.0,5123.0,2824.0,936.0,1605.0,132.0,218.0,1614.0,1030.0,334.0,410.0,2217.0,417.0,77.0,4.0,43.0,431.0,93.0,
k,47076.0,1794364.0,570193.0,184074.0,182474.0,566060.0,85238.0,56729.0,109399.0,54918.0,3895.0,251842.0,125145.0,989.0,1903.0,929584.0,360385.0,170673.0,152977.0,12289.0,285103.0,380394.0,44069.0,1094289.0,4939.0,138430.0,547916.0,472284.0,379.0,69980.0,20618.0,7296.0,94151.0,5709.0,48130.0,702.0,150117.0,2048.0,319732.0,124609.0,6796.0,200337.0,7686.0,6196.0,18428.0,296.0,99117.0,30679.0,1757.0,59795.0,58665.0,1853.0,39950.0,8077.0,1086.0,4412.0,204974.0,7307.0,659.0,1245.0,23.0,5318.0,42728.0,17009.0,35838.0,125.0,2518.0,206.0,6174.0,8902.0,17665.0,3309.0,2466.0,139.0,475.0,1584.0,7412.0,170.0,5.0,105.0,34.0,5.0,7040.0,351.0,229.0,47.0,53.0,931.0,43.0,164.0,18.0,6107.0,2418.0,4387.0,787.0,1018.0,29.0,16.0,52.0,975.0,71.0,72.0,708.0,26.0,19.0,2.0,28.0,8.0,40.0,
7,97174.0,1449083.0,113892.0,1081003.0,281283.0,61620.0,13970.0,120987.0,350360.0,125286.0,227.0,293965.0,1276435.0,804.0,4180.0,139258.0,93773.0,37538.0,351564.0,6282.0,72656.0,224336.0,72551.0,264758.0,668.0,57447.0,24400.0,59477.0,412.0,186130.0,39048.0,10837.0,22672.0,205.0,60576.0,212.0,13317.0,18170.0,29250.0,30629.0,17530.0,98661.0,13724.0,80593.0,124881.0,941.0,19725.0,26197.0,4676.0,1881.0,1565.0,1906.0,1397.0,154.0,3195.0,1157.0,85065.0,74.0,2655.0,3627.0,86.0,330.0,31254.0,159.0,6915.0,30.0,62541.0,52.0,925.0,389.0,4590.0,6849.0,838.0,2037.0,6526.0,277.0,448.0,155.0,8.0,278.0,160.0,113.0,99.0,46.0,7.0,7.0,728.0,23.0,116.0,23.0,13.0,166.0,56.0,41.0,25.0,11.0,27.0,12.0,33.0,15.0,57.0,460.0,26.0,193.0,5.0,,1.0,8.0,88.0,7.0
d,48046.0,3393539.0,433314.0,347001.0,890900.0,557999.0,74205.0,87039.0,133182.0,74908.0,7686.0,746570.0,231408.0,1066.0,4135.0,941169.0,417014.0,137992.0,621541.0,12334.0,397577.0,263538.0,58187.0,1310779.0,9399.0,104943.0,120248.0,222864.0,819.0,533471.0,25828.0,6597.0,57710.0,5939.0,76004.0,13095.0,137517.0,3692.0,285739.0,100084.0,9404.0,147381.0,10172.0,8892.0,272688.0,587.0,57333.0,45783.0,13397.0,37012.0,44695.0,4272.0,20771.0,7785.0,1472.0,34118.0,177460.0,6078.0,3268.0,3496.0,64.0,3962.0,76355.0,7552.0,29581.0,310.0,3451.0,756.0,17903.0,15716.0,28624.0,6658.0,3840.0,167.0,666.0,3868.0,10106.0,489.0,31.0,254.0,51.0,23.0,2554.0,3338.0,435.0,134.0,544.0,1866.0,49.0,801.0,801.0,5196.0,3587.0,2902.0,851.0,1090.0,93.0,122.0,724.0,534.0,176.0,219.0,941.0,101.0,44.0,,31.0,215.0,36.0,
z,11826.0,998589.0,576230.0,63768.0,221179.0,22964.0,7597.0,19083.0,21152.0,46465.0,1750.0,173544.0,55243.0,640.0,271.0,394648.0,175394.0,85841.0,270667.0,9217.0,101939.0,162891.0,14407.0,576108.0,681.0,64139.0,7032.0,363162.0,70.0,80916.0,5030.0,457.0,26587.0,1844.0,49074.0,2265.0,2014.0,757.0,14582.0,54467.0,3925.0,94098.0,1830.0,2493.0,45883.0,113.0,9239.0,10960.0,546.0,890.0,31346.0,1066.0,15159.0,560.0,618.0,5063.0,85719.0,1050.0,50.0,251.0,6.0,1550.0,36360.0,9622.0,451.0,25.0,734.0,62.0,3081.0,4235.0,13228.0,934.0,330.0,91.0,212.0,290.0,1654.0,39.0,,32.0,,,5239.0,418.0,202.0,5.0,645.0,129.0,13.0,31.0,7.0,2552.0,216.0,38.0,43.0,572.0,7.0,6.0,120.0,250.0,16.0,15.0,245.0,5.0,7.0,1.0,1.0,44.0,23.0,
r,62162.0,5294330.0,735820.0,381851.0,1346965.0,1033344.0,135715.0,129058.0,189794.0,95585.0,19804.0,1263521.0,273190.0,1890.0,7310.0,1333275.0,555524.0,284950.0,1131358.0,15933.0,683230.0,430521.0,99993.0,2819244.0,16187.0,215608.0,418536.0,502047.0,1329.0,888441.0,48455.0,17789.0,149343.0,13333.0,61137.0,25129.0,152177.0,8144.0,564890.0,201004.0,16804.0,268475.0,18211.0,18188.0,280156.0,1152.0,112037.0,76669.0,7992.0,121388.0,81581.0,7761.0,28516.0,11353.0,2533.0,67331.0,345280.0,13014.0,4715.0,6178.0,103.0,6875.0,113346.0,21229.0,60530.0,514.0,7104.0,1372.0,16291.0,32859.0,46161.0,12919.0,6669.0,343.0,896.0,6931.0,18000.0,811.0,51.0,512.0,47.0,33.0,12438.0,4350.0,1107.0,280.0,3260.0,2135.0,109.0,1496.0,938.0,7003.0,6446.0,8207.0,1231.0,1172.0,144.0,212.0,1953.0,1263.0,420.0,408.0,2089.0,222.0,75.0,1.0,51.0,422.0,134.0,
편,17584.0,26.0,6.0,18.0,2.0,1.0,,1.0,2.0,3.0,,2.0,,,,,,,,,2.0,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
